statement,label
Russia saves Ukrainians from self -destruction,war_propaganda
The new OMS protocols aim to sexually mutilate children,fake_news
Ukrainians want a president like Vladimir Putin,war_propaganda
"Maia Sandu closed 200 schools, chasing young people from Moldova",fake_news
The EU allows Ukraine to break the rights of Russians,war_propaganda
"Extreme, normal temperatures in Romania this season",fake_news
Ukrainians are sentenced to prison for discussing with their relatives in Russia,war_propaganda
Interpol will be looking for Ukrainians who have fled to mobilization,war_propaganda
"In order to join the EU, the Republic of Moldova must send soldiers to the Ukraine war",fake_news
The West invites Russia to reconnect to the International Payment System,fake_news
"Ukraine will be attached to Poland, to be part of NATO and EU",war_propaganda
Oculture World is preparing a perpetual pandemic,fake_news
"Attack at Chisinau Airport, a consequence of CSI Distance",fake_news
"Russia's peace plan, increasingly sustained in the EU",war_propaganda
The trips of the Romans will be followed by CNAIR,fake_news
Maia Sandu established a dictatorial regime similar to that of Plahotniuc,fake_news
Ukrainians no longer take place in cemeteries for the dead military,war_propaganda
Ukrainians want Russian citizenship to defend their EU children,war_propaganda
Moldova becomes a bridgehead for military actions against Russia,fake_news
UN accused Ukraine of torturing civilians,war_propaganda
In Moldova we want the amendment of Russian speakers,fake_news
Removing the SOR Party Apart from the Law to Usurpare Power in the State,disinformation
Azov Sea is a great internal of Russia,war_propaganda
We will no longer be able to buy food without digital passport,fake_news
Romanians understood that they should not support Ukraine,war_propaganda
Fear of artificial intelligence will intensify dictatorship,fake_news
In Ukraine there is a civil war for the restoration of big Russia,war_propaganda
The West forces Moldova to follow the path of Ukraine,fake_news
"Universal income, one more step toward the enslavement of mankind",fake_news
"CPE summit, organized to create an anti-Russian coalition",fake_news
Moral principles prevent Russia from completing the war,war_propaganda
In the Republic of Moldova there is no Russian propaganda,disinformation
Andrzej Duda says Russia will win the war,war_propaganda
The separation of Romanian children from families has begun,fake_news
The EU wants to push Moldova to a confrontation with Russia,fake_news
NATO supports Ukraine to cause a world war,war_propaganda
Ukraine is a Soviet invention,disinformation
Russia is not involved in the internal affairs of Moldova,disinformation
Romania is invaded by Asians,fake_news
The West believes that Ukraine will lose,war_propaganda
Moldova leaves the CIS at the West indication,disinformation
The War of Ukraine is in Zelenski's interest,war_propaganda
Russia is supported by 85% of the planet's population,fake_news
Ukrainian children are sold in the West,war_propaganda
Kiev and Chisinaul agreed to liquidate Transnistria,fake_news
The government wants to sell Romania and take the children of the Romanians,disinformation
"""Special military operation"" saves Russia from the aggression of the West",war_propaganda
Ukraine is a terrorist state and must be punished by Russia,war_propaganda
Moldova accepts the attack of Transnistria for Ukraine to take Russian ammunition from there,fake_news
Romanism is a form of aggression against Russia,disinformation
The West will order Poland to attack Belarus and occupy Lvul,war_propaganda
Approaching the EU throws Moldova into poverty,fake_news
Romania supports Medvedev's proposal to share Ukraine,war_propaganda
"In 2023, Romania will lose Transylvania",disinformation
Ukraine is a Pseudo Nazi State pushed to West War,war_propaganda
"If he wants in the EU, Moldova must adhere to NATO",fake_news
Putin warned Ukraine 23 years ago that NATO will cause a war,war_propaganda
Ukraine attacked Romania with me,fake_news
War forced US to move biological weapons from Ukraine,war_propaganda
The Republic of Moldova is preparing one million reservists to attack Transnistria,fake_news
US allowed Ukraine to bombard Russia,war_propaganda
The future Polish-Ukrainian state will dismantle Romania,fake_news
"The US will send 200 thousand Ukrainian military-sugargias, subordinated directly to the Pentagon",war_propaganda
Romanians will be limited to freedom of movement,fake_news
Ukraine will continue to assassinate Russians based on an online published list,war_propaganda
The Chisinau government stole a billion euros from the financial aid offered by the EU,fake_news
Germany support Ukraine to forget the horrors of Nazism,war_propaganda
Zelenski has ties with the Nazis,war_propaganda
Green energy promoted by the West to obtain mineral resources,fake_news
Chisinaul promotes antirusa hysteria,disinformation
Czechs give Ukraine weapons to bomb the civilians,war_propaganda
USA runs Romania and bears war against Russia,fake_news
"Russia and China will be peace in Ukraine, while the West feeds the war",war_propaganda
Western diplomats are preparing the entry of Moldova into the war,fake_news
Increases the number of Moldovans that give Right to Russia in the Ukraine War,disinformation
Ukraine blocks the creation of a protection zone at the Zaporojie nuclear power plant and wants to cause a nuclear accident.,war_propaganda
The children in Romania will no longer know what sex they have and which species belong to them,fake_news
The Ukrainian Orthodox Church is persecuted by Kiev as during the communist period,war_propaganda
Ukraine nuclear power plant specialists will be sent to the front,war_propaganda
Romania is preparing to enter the war,fake_news
Zelenski asked NATO member states to send troops to Ukraine,war_propaganda
The government in Chisinau wants to eliminate the Moldovan language because it prepares the Union with Romania,disinformation
The students in Romania are obliged to watch films that do propaganda for suicide and homosexuality,fake_news
"Russia must mobilize to overcome NATO in the new ""war for defense""",war_propaganda
"Romania massages troops at the border with Moldova and in Chisinau, even if it denies this",disinformation
Chisinau government prohibits Russian press at the West indication,fake_news
"""Special military operation"" saved Russia from the NATO invasion and Ukrainian Nazism",war_propaganda
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea",fake_news
"In the future, people will have to pay in order to breathe",fake_news
Ukraine will organize a Russian genocide,war_propaganda
Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia,war_propaganda
The EU sent the military to Ukraine before 2022 to weaken Russia,war_propaganda
Maia Sandu dismissed Natalia Gavrilita to purify the opposition and strengthen her authoritarian and anti-Russian regime,fake_news
"Romanians will regain the country's wealth if they are isolated from the West, like Japan",disinformation
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6",disinformation
Ukraine recruits volunteers for Nazi brigades,war_propaganda
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova",disinformation
Russian military actions in Herson region are an example of human behavior,war_propaganda
Occult global wants digital coins to ensure humanity,fake_news
NATO prepares the territory of the Republic of Moldova as a future war theater,fake_news
Zelenski acknowledged that Western tanks will not change the situation on the front,war_propaganda
Western occult forces will take the children of Romanians families,fake_news
The West forces Russia to expand its military operations in Ukraine,war_propaganda
The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach,fake_news
Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war,war_propaganda
Volodimir Zelenski wants world nuclear war,war_propaganda
The West and Romania will enter the war on Ukraine,fake_news
The mothers and wives of the Ukrainian military killed in fights protest against the war,war_propaganda
Chisina's military intentions cause concerns in Bucharest,disinformation
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock",fake_news
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist",war_propaganda
NATO provides Ukraine only outdated armament,war_propaganda
Brussels gave its turn for the annexation of the Republic of Moldova by Romania,fake_news
Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories,war_propaganda
"The eco -dictatorship will push humanity to a feudal social system, with people ""tied to glie and totally dependent on a master.""",fake_news
The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court,war_propaganda
The EU conditions the accession of the Republic of Moldova to legalize marriages between people of the same sex,fake_news
"In the UK, a woman was arrested under the suspicion that she was praying",fake_news
"Zelenski killed over 50 thousand women, mobilizing them in the army",war_propaganda
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea",war_propaganda
NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine,fake_news
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace",disinformation
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova",war_propaganda
Germans are disappointed with the EU decision to support Ukraine financially,war_propaganda
Moldova invests more money in defense because he is preparing for war with Russia,fake_news
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West",disinformation
The losses of the Ukrainian army are so great that students are forced to donate blood to the military,war_propaganda
"Romania participates with thousands of soldiers in the Ukraine War, according to a government agreement",fake_news
The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people,war_propaganda
The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians,war_propaganda
Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia,fake_news
The United States has entered Ukraine since 2014 to push the war against Russia,war_propaganda
In Ukraine are only the Eastern Russians because they want to exterminate them,war_propaganda
In Romania it will be the Blackout of Holidays so that the patriots can be assassinated,disinformation
Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government,war_propaganda
The government in Chisinau wants to force the entry of the Republic of Moldova to NATO,fake_news
"Already conquered by the West, Romania is being trampled and Ukraine",fake_news
The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014,disinformation
Chisinaul negotiates with Kiev an exchange of territories offers a military deposit in Transnistria instead of a part of the Odessa region,fake_news
Putin did not attend the G20 summit because the West was preparing a terrorist attack against,war_propaganda
The French reject the policy of sanctions towards Russia and assistance granted to Ukraine,war_propaganda
"NATO stole the national holiday of Romania, leaving at the same time the country without army",fake_news
Volodimir Zelenski visited the herson to launch civilian massacre,war_propaganda
The United States is preparing to attack Transnistria,fake_news
Zelenski will give up Poland Lviv Region,war_propaganda
Romanian consumers will no longer be able to buy energy from Hidroelectrica and Nuclearelectrica because it will be the date of Moldova,fake_news
The Republic of Moldova steals the gas of Transnistria and sells it to Ukraine,fake_news
Belarus and Russia form a common military group to defend itself from Ukrainian terrorist attacks and a possible NATO aggression,war_propaganda
Ukraine unemployed will be enrolled in the army and sent to the front,war_propaganda
The Ukrainian army gives money to those who trick their friends to enlist,war_propaganda
The Netherlands opposes Romania's entry into Schengen because the Constanta port threatens the supremacy of the Rotterdam port,fake_news
Romanians protest in mass towards NATO and support policy for Ukraine,fake_news
Israel will not deliver weapons of Ukraine so that it is not stolen or sold to Iran,war_propaganda
The world occult will bring humanity under control by imposing digital currencies and digital identity,fake_news
The pro-European from Chisinau creates a militarized authoritarian regime that will not be changed on democratic paths,disinformation
Chisinau was developed by the Russians and was degraded when it was administered by Romanians,disinformation
Foreign diplomats withdraw from Kiev by the fear of the Russian offensive,war_propaganda
The reform in justice leads to the undermining of the Constitutional Court and the loss of the sovereignty of Romania,fake_news
Russia withdrew from the APCE because he didn't want gay in the State Duma,fake_news
In the Republic of Moldova were prohibited protests on working days,fake_news
"Like Adolf Hitler, Volodimir Zelenski joined Europe to destroy Russia",war_propaganda
"Russia shows restraint in the Ukraine War, especially when it attacks civil goals",war_propaganda
"Hidroelectrica, like other Romanians, will be taken by foreigners",fake_news
"Half of the Ukrainian army military are foreigners, which means NATO participating in the war",war_propaganda
"The opposition from Chisinau has united its efforts against governance, organizing massive protests",fake_news
Anti-Covid19 vaccine leads to testicular cancer,fake_news
Ukraine will use a radiological bomb in the south of the country,war_propaganda
The UN Charter allows Russia to attack Ukraine to combat Nazism,fake_news
The Republic of Moldova is led by a Russian dictatorial regime,disinformation
A referendum for joining Poland will be organized in the LIOV region,war_propaganda
"The referendums in the busy Ukraine are legitimate, and Russia is superior to the West",fake_news
West observers confirm that Ukraine referendums have met democratic standards,war_propaganda
The victory of the right in Italy puts an end to the sanitary dictatorship,fake_news
Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev,war_propaganda
The Republic of Moldova wants an exchange of territories with Ukraine,fake_news
Referendums of attachment to Russia of the territories in the eastern and southern Ukraine respect the UN Charter,war_propaganda
Secret services want the protest orchestra to justify the abandonment of Ukraine by the EU,fake_news
Partial mobilization Ordinance of Putin will prevent a nuclear disaster and will lead to a conflict and diplomatic dialogue,war_propaganda
The Izium massacre was an insanity meant to compromise the Russian army,war_propaganda
"The EU abandoned the Republic of Moldova, and Romania doubled its price for electricity",fake_news
Moldova closes schools to buy weapons from the West,disinformation
The Kiev government expressed his distrust in the Western partners,war_propaganda
Poland will trigger a war against Russia in the next 10 years,war_propaganda
Russia is not to blame for the explosion of energy and natural gas prices,disinformation
Chisinau authorities threaten the autonomy of Gagauzia,fake_news
"The inhabitants of the Zaporojie region are waiting for the liberation of the cities of Micolaev, Kharkov and Odessa by the Ukrainian Nazis",war_propaganda
Romanians and Europe will freeze in winter,disinformation
Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing,war_propaganda
"The Russian military presence in Transnistria is the ""foundation stone"" of security throughout the region",disinformation
Anthony Fauci confirmed that the Sars-Cov-2 virus was produced in Ukraine laboratories,war_propaganda
Most Romanians will exit the country from NATO and EU,disinformation
The government in Chisinau undermines the role of the Russian language and violates the rights of national minorities,disinformation
On the EU territory are trained terrorists who will act against civilians in Donbass,war_propaganda
"Because of the neonazist propaganda of Kiev, the Ukrainians do not understand that they are released by Russia, not busy",war_propaganda
"""World Hide"" plans to implant chips to children",fake_news
US will cause a nuclear disaster in Ukraine to hide the traces of biological weapons laboratories,war_propaganda
Poverty brought by Maia Sandu government forces people to warm up with balegar,disinformation
A Romanian basketball player died because of the vaccination against Covid-19,fake_news
The Chisinau government has set up a dictatorial regime fighting the free press,disinformation
Maia Sandu is preparing a coup against her own government,disinformation
EU states will ask Ukraine to give in to Russia,war_propaganda
Zelenski makes laws to extend the war with Russia for another 50,fake_news
The level of criminality in Ukraine has increased three times after the arming of civilians,war_propaganda
"If the Republic of Moldova had been part of Romania, it was a underdeveloped region, with a population of illiterates covered to the Romans",disinformation
Ukrainian authorities have abandoned the Herson.The region will unite with Russia that will protect Ukrainian,war_propaganda
UN and Turkey recognize Russia's right to control Ukraine's maritime ports,war_propaganda
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova",disinformation
"To the US command, Kiev will cause a nuclear disaster at Zaporojie",war_propaganda
The Soviet regime did not organize the hunger in Bessarabia,disinformation
"Russia killed with a single rocket at least 15 Ukrainian generals in Vinita, stop the counter -offensive from Donbass",war_propaganda
Zaporojie set contacts with at least 15 states including EU limbs,war_propaganda
Chisinau wants to denounce the fire termination agreement in Transnistria,disinformation
The Strategic Partnership Romania-US did not bring us advantages,disinformation
American scientists support Putin's ideas about Ukraine,war_propaganda
Romania will be invaded by Africans and Asians from Ukraine,fake_news
Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration,war_propaganda
The armament delivered to Ukraine transits the territory of the Republic of Moldova,disinformation
Poland will collaborate with Hungary and Romania to capture some of Ukraine,war_propaganda
Residents of Kharkov region request joining in Russia,war_propaganda
Romania will help Ukraine recover the herson,war_propaganda
Maia Sandu closes universities and schools with teaching in Russian,fake_news
"Public warnings are ""founders"", as well as former security collaborators",disinformation
Volodimir Zelenski will be tried for war crimes,war_propaganda
"Moldova will enter a deep crisis when, pressed by the EU, will sanction Russia",disinformation
The inhabitants of the Luhansk region will be deported by Kiev,war_propaganda
US do dangerous nuclear experiments in Romania,fake_news
The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army,war_propaganda
The EU offers the status of candidate to Russian countries but they have nothing to win,disinformation
In Ukraine was canonized nationalist leader Stepan Bandera,war_propaganda
Kiev pays Western armament with Ukrainian museum exhibits,war_propaganda
WHO will use the census data in Romania in an abusive way,disinformation
The volunteers from Zaporojie are registered in a battalion that will defend the Ukrainian army region,war_propaganda
The Ukrainian army massacres Russophones while withdrawal from Donbass,war_propaganda
NATO's Secretary General Proposes Kiev to give up Russia certain territories in the name of peace,war_propaganda
The West pushes the Republic of Moldova to war with Transnistria and Russia,fake_news
China's delegation left the room during a speech by Volodimir Zelenski,fake_news
Moldova is pushed to war with Russia and the Union with Romania,disinformation
The United States is studying Russian armament captured in Ukraine to copy its ultra-modern technology,war_propaganda
The United States caused Ukraine's war to take advantage of economically,disinformation
The children in Donbass were sold for organs under the coordination of the Red Cross,war_propaganda
"In Chisinau, FBI agents arrived to push the Republic of Moldova to military confrontations with Russia",fake_news
Most Poles support the invasion of the western Ukraine regions,war_propaganda
40% of the territory of the Republic of Moldova will be under the control of foreign policemen,disinformation
Dodon was withheld at the order of secret services in Romania,fake_news
"OSCE collaborated with the ""Azov"" Regiment in Mariupol and provided them with information",fake_news
Ukraine will give up Russia the city of Zaporojie,war_propaganda
Igor Dodon was arrested in order not to prevent the entry of the Republic of Moldova into the war,fake_news
The West investigates the atrocities committed by Ukrainian nationalists on the territory of Ukraine,war_propaganda
Ukrainian neo -Razisists are in captivity in civilian region of civil region,war_propaganda
Western press lies about the Ukraine War,disinformation
The EU is afraid of tuberculosis from NATO laboratories in Ukraine,war_propaganda
"If the Republic of Moldova will leave the CIS, it will have no place to sell its products",disinformation
Zelenski's counselor announces the organization of a genocide of Russian people in Kharkov and Donbass,war_propaganda
The West fights with Russia through Ukraine,disinformation
Nearly three million Ukrainians want to emigrate to Russia,war_propaganda
"Kiev mobilizes a million military, paying human beings for Western loans",war_propaganda
UN acknowledged that Ukrainian military bombard their schools or use them for military purposes,war_propaganda
The pro-European government of Moldova is to blame as the socialist mayor of Chisinau expensive public transport,disinformation
The Government of the Republic of Moldova is challenged by the population because it supports Ukraine,fake_news
Kiev allowed the entry of 10 thousand military from Poland and Lithuania into the country,war_propaganda
Russia will be forced to resort to nuclear weapons,disinformation
"Synod of the Russian Orthodox Church, sentenced to death on the territory of Ukraine",war_propaganda
The President of Poland acknowledged that Warsaw will annex Ukrainian territories,war_propaganda
Moldova gives up neutrality and is armed for war with Russia,disinformation
The Ukrainians are Satanists,war_propaganda
"In Ukraine, mercenaries from Israel arrived against Russia with the military of the group ""Azov""",war_propaganda
"Romania, along with Poland, Ukraine and Moldova, is preparing to invade Transnistria",disinformation
Crimea Tatars support Russia's military actions on Ukraine's territory,war_propaganda
Romania concentrates its military forces on borders with the Republic of Moldova and Ukraine,fake_news
The Ukrainian army brings corpses to Lisiciansk to inscerate a new massacre,war_propaganda
"Transnistria attacks, organized by the West to attract Moldova to NATO and capture Soviet ammunition",fake_news
"Poland will take control over its ""historical territories"" in Ukraine with the help of US",war_propaganda
"Vladimir Putin convinced the UN Secretary General, Antonio Getterres, that Ukrainian Nazis must be tried in the International Criminal Court.",war_propaganda
Ukraine has attacked with chemical and biological weapons the positions of Russian military,war_propaganda
"Southern Ukraine, released by nationalists, wants to be attached to Russia",war_propaganda
Ukraine and the US have tried to attract Romania to war with Russia,fake_news
Zelenski acknowledged that Ukraine began conflict with Russia,war_propaganda
The prohibition of the symbols of the Russian army is an insult brought to the history and values of Moldova,disinformation
Ukraine does not rebuild Harkov because he knows he will join Russia,war_propaganda
"The EU carries imperialist policies, and the states on its outskirts, like Romania, are exploited by the powerful ones, from the Center",disinformation
The inhabitants of Zaporojie request the attachment to the Donetk People's Republic,war_propaganda
NATO will not defend their members in the event of a conflict with Russia,disinformation
Kiev tortures the prisoners of war and refuses to respect the Geneva Convention,disinformation
"American experts believe that the Massacre of Bucea is an invention of ""Ukrainian propaganda""",war_propaganda
Zelenski conditions the rights of the Romanian community in Ukraine by the help of Bucharest,disinformation
US sends to Ukraine Military Afghani who fled the Talibans to the West,fake_news
Ukrainian refugees abuse the hospitality of Moldovans,disinformation
"95% of Ukrainians are waiting to be released from Russia, says the separatist leader in Luhansk, Marat Basirov",war_propaganda
NATO fights with Russia to the last Ukrainian,disinformation
UN supports genocide directed against Ukraine Russians,war_propaganda
"Mines located by Ukraine can blow up the Black Sea, causing a cataclysm",disinformation
Ukrainian forces destroyed the city of Mariupol,war_propaganda
"To attract NATO to the war, Ukraine will attack the US Embassy in Lvov and blame Russia",war_propaganda
"Ukraine wants to prolong the war and uses citizens as human shields, while Russia protects Ukrainian civilians",war_propaganda
Russians outside the country are discriminated,disinformation
Russia has discovered nationalist concentration camps in eastern Ukraine,war_propaganda
Ukraine was preparing to attack the donbass and masked his intentions hiding the military in schools and hospitals,war_propaganda
"15 million Ukrainians have close ties with Russia, and Ukrainian nationalists use Russian as human shields.",war_propaganda
Ukrainian forces have shot down a Romanian plane and helicopter in Dobrogea,fake_news
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario",war_propaganda
"Ukrainian refugees cause disorder in the Republic of Moldova, and Kiev wants to attract Chisinau in the war",fake_news
In the secret laboratories of Ukraine was produced coronavirus,war_propaganda
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories",war_propaganda
"Kiev was preparing an aggression against Donbass in March, and Russia had to intervene to stop it",war_propaganda
Russia has destroyed American biological weapons laboratories in Ukraine,war_propaganda
"Russia attacked the Chernobyl, Zaporojie and Kharkov to prevent Ukraine from producing nuclear weapons",war_propaganda
"The West declared war on the Russian Federation, and Moldova risks having the fate of Ukraine",fake_news
Ukrainian nationalists killed peaceful civilians,war_propaganda
Ukrainian military transforms Mariupol into a concentration camp,war_propaganda
"The war in Ukraine, pretext for the denigration of Russia, censors",disinformation
"NATO provides armament to Ukraine through the Republic of Moldova, which thus violates its neutrality",fake_news
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine",disinformation
Kiev was incumbent on the press for the Donbass separatists on civil infrastructure,fake_news
NATO pushes Moldova to a war with Russia,fake_news
The West climbs the situation in Ukraine,fake_news
Supplementing NATO forces in Romania is aberrant because Russia does not threaten anyone,fake_news
"The Western press misinforms on the crisis in Ukraine, which is a diversion of the West",disinformation
Kiev violates his obligation to negotiate with separatists in Donbass and propaganda as Goebbels,disinformation
"The common meeting of the governments in Bucharest and Chisinau, a new step towards the annexation of the Republic of Moldova by Romania",fake_news
"The United States pushes Ukraine to war with Russia, and the fate of Kiev will be decided by negotiations between the great powers",disinformation
"Putin is a good Christian, the victim of the Russian speech and has nothing to do with communism, imposed by Russia by the West",disinformation
"Romania buys American weapons, without having any benefit, instead of investing in education",disinformation
British special forces will climb the situation in Donbass without Kiev's consent,disinformation
Romania replaces its unionist ambassador from Chisinau with a NATO expert,fake_news
"NATO extends aggressively to the east, and the United States pushes Ukraine to a war with Russia",fake_news
Romania will be dismantled in the case of a Russian invasion in Ukraine,disinformation
Ukraine is a Russian territory under foreign occupation and could launch a war against Russia,disinformation
Chisinaul maintains the Transnistrian conflict for the West to remain interested in Moldova,fake_news
Russia is demonized so that the West can control the ex-Soviet space,disinformation
Simona Halep lost to the Australian Open because she was vaccinated,disinformation
"NATO sends troops to Eastern Europe, although no member state is threatened",fake_news
The weapon provided by the West of Ukraine is expired,fake_news
Moldova gives up neutrality and gives NATO control over its armed forces,fake_news
"Romania threatens the Republic of Moldova, but will not be able to do anything when NATO will abandon it",disinformation
By the QR code on the green certificates the social credit is imposed and the population is enslaved,disinformation
"At the end of the Cold War, the US wanted to dismantle Romania and offered it to Russia",disinformation
Ukraine is preparing a massacre in Donbass,disinformation
Moldova risks a revolt like in Kazakhstan because the pro-European people have increased the gases,disinformation
"Djokovic defeated the sanitary dictatorship, and Serbia gave a lesson of dignity",fake_news
EU turns Romania into a market for low quality products,fake_news
"Ukraine is a Nazi state, dangerous to Russia's existence",fake_news
Igor Dodon took bribes to share it with poor,disinformation
EU forces Romania to give up its constitution and sovereignty,disinformation
"Romania is Russophoba on the order of the West, but the Romanians share the values of Russia",disinformation
"NATO has a military base at Odessa, on Russia's historical land",disinformation
Russia is entitled to the territories that were part of the former USSR,disinformation
The journalist detained by the police state,fake_news
Romania has sent equipment and military to Ukraine and will be abandoned by NATO,fake_news
Great Britain wants NATO states to admit that they are responsible for the Ukraine crisis,fake_news
Western non -governmental organizations destroy Moldova,disinformation
"Eastern partnership is a missed project, and his members lose because they have distanced themselves from Russia",fake_news
The United States wants to destroy the Olympic Games,disinformation
"""Romania, NATO garbage dump""",disinformation
Ukraine persecuted the population in the territories occupied by Russia because it does not recognize the citizens granted by Moscow,disinformation
"Moldova offended Russia by expulsion of some ""elections"" observers in Transnistria",disinformation
Power prefers Moldovans from the diaspora of those in the country,disinformation
Anti-Covid vaccines have severe side effects and are inefficient,fake_news
The EU is responsible for the crisis of migrants from the border with Belarus,disinformation
The West caused all the crises faced by Eastern Europe states,fake_news
The West wants to subjugate Moldova and other ex-Soviet states,disinformation
"The European Commission ""cancels"" Christmas and prohibits the use of Christian name ""Maria""",fake_news
"The omicron stalk, invented to impose global dictatorship",fake_news
Moscow mobilizes forces at the border with Ukraine to defend a NATO aggression,disinformation
The Association Agreement to the EU is harmful to Moldova,fake_news
In Moldova the dictatorship was established that will destroy the country,fake_news
The green certificate violates fundamental freedoms and prepares the assault on the church,disinformation
"""Romania, bridgehead for a NATO-Russia war""",fake_news
Russia saves the genocide donbass organized by Ukraine and West,disinformation
"In the Republic of Moldova, schools with teaching in Russian are liquidated",fake_news
"""The Republic of Moldova project has reached the end""",disinformation
Russia is the innocent victim of the Rusophobia of the Romans,disinformation
Laura Codruta Kovesi could lose the position of chief prosecutor of the European Prosecutor's Office,fake_news
"In Ukraine the children suffer from hunger, and the country becomes an underdeveloped colony of the West",disinformation
The US demands the withdrawal of Russian Pacifectors from Transnistria after the Republic of Moldova signed the new gas delivery contract,disinformation
Sandu's government is guilty that in the world they have increased gas prices,disinformation
Oculta wants to hide that Petrica Matu Stoian died of Covid although he was vaccinated,fake_news
"Hunger will also come to Romania, and the stores rationalize the products",fake_news
"Belarus acts according to international norms, Ukraine is Nazi and Rusophoba",fake_news
"Russia saved Moldova in the gas crisis, as it did in the Transnistria war",disinformation
The US and Moldova are preparing for war,disinformation
Romania becomes an Orthodox front against the West,disinformation
"Europe, on the threshold of a current catastrophic feathers",fake_news
Ukraine continues genocide in donbass with Turkish drones,fake_news
Ukraine is unhappy that Moldova buys Russian gases,disinformation
"In Moldova, monuments in honor of the fascists rise in honor",fake_news
"Ukraine and Georgia will become a NATO polygon, but will not receive security guarantees",disinformation
Ukraine killed children from Transnistria,fake_news
"Moldova, American launch ramp for a war with Russia",fake_news
"The fires in the Romanian hospitals are a ""face"" and anti-Covid-19 vaccines are expired",fake_news
Europeans request the construction of Nord Stream 3 and 4 to overcome the gas crisis,fake_news
PAS Government leaves agriculture in the Republic of Moldova without workforce,fake_news
Inclusive and sanitary policies are forms of totalitarianism,disinformation
Romania will send the military to Crimea to the EU command,fake_news
