source,target
"Zelenski conditions the rights of the Romanian community in Ukraine by the help of Bucharest","Romania"
"The EU carries imperialist policies, and the states on its outskirts, like Romania, are exploited by the powerful ones, from the Center","Romania"
"Romania concentrates its military forces on borders with the Republic of Moldova and Ukraine","Romania"
"Moldova gives up neutrality and is armed for war with Russia","Romania"
"Dodon was withheld at the order of secret services in Romania","Romania"
"In Chisinau, FBI agents arrived to push the Republic of Moldova to military confrontations with Russia","Romania"
"Moldova is pushed to war with Russia and the Union with Romania","Romania"
"Romania will help Ukraine recover the herson","Romania"
"Poland will collaborate with Hungary and Romania to capture some of Ukraine","Romania"
"Romania will be invaded by Africans and Asians from Ukraine","Romania"
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova","Romania"
"If the Republic of Moldova had been part of Romania, it was a underdeveloped region, with a population of illiterates covered to the Romans","Romania"
"Maia Sandu is preparing a coup against her own government","Romania"
"A Romanian basketball player died because of the vaccination against Covid-19","Romania"
"Romanians and Europe will freeze in winter","Romania"
"Chisinau authorities threaten the autonomy of Gagauzia","Romania"
"Secret services want the protest orchestra to justify the abandonment of Ukraine by the EU","Romania"
"The reform in justice leads to the undermining of the Constitutional Court and the loss of the sovereignty of Romania","Romania"
"Romanian consumers will no longer be able to buy energy from Hidroelectrica and Nuclearelectrica because it will be the date of Moldova","Romania"
"The United States is preparing to attack Transnistria","Romania"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Romania"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","Romania"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","Romania"
"The EU conditions the accession of the Republic of Moldova to legalize marriages between people of the same sex","Romania"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","Romania"
"The West and Romania will enter the war on Ukraine","Romania"
"Occult global wants digital coins to ensure humanity","Romania"
"Romanians will regain the country's wealth if they are isolated from the West, like Japan","Romania"
"In the future, people will have to pay in order to breathe","Romania"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","Romania"
"The government in Chisinau wants to eliminate the Moldovan language because it prepares the Union with Romania","Romania"
"Romania is preparing to enter the war","Romania"
"Romanians will be limited to freedom of movement","Romania"
"The future Polish-Ukrainian state will dismantle Romania","Romania"
"Romanism is a form of aggression against Russia","Romania"
"The government wants to sell Romania and take the children of the Romanians","Romania"
"Romania is invaded by Asians","Romania"
"Universal income, one more step toward the enslavement of mankind","Romania"
"Fear of artificial intelligence will intensify dictatorship","Romania"
"We will no longer be able to buy food without digital passport","Romania"
"The trips of the Romans will be followed by CNAIR","Romania"
"NATO troops in Romania threaten peace","Romania"
"Moldovan infrastructure, developed for Ukraine","Romania"
"People will be manipulated through the flu vaccine","Romania"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","Romania"
"Occult will trigger the water crisis to put on the world government","Romania"
"Zelenski is no longer supported in the West and in Romania","Romania"
"Anticovid19 vaccines cause mental illness","Romania"
"Romania obliges Ukraine and Moldova to prohibit the Moldovan language","Romania"
"Romania has committed to receive 3 million refugees from Israel","Romania"
"Ceausescu was a great leader of sovereign Romania","Romania"
"USA and Romania transform the Republic of Moldova into a victim of nuclear confrontation with Russia and China","Romania"
"Romania and the US are preparing Russia attacks with Himars missile systems","Romania"
"Romania wants to sanctify Moscow for \""Offender Sergei Magnitki\"" and to adopt an anti -use law","Romania"
"Dominic Fritz and Klaus Iohannis, \""Nazis\"" with dictatorial and anti -Semitic strokes against Romania against the \""peaceful protesters\"" of gold","Romania"
"Romania was the power of occupation in Moldova","Romania"
"Romania disassemble money on military endowment","Romania"
"Romania risks a war with Russia because of Ukraine","Romania"
"The special troops of the US, Romania and Moldova are preparing to attack Transnistria","Romania"
"Romania and Russia will have a common border after the Russian army occupies a good part of Ukraine","Romania"
"Turkey prefers a non-conflicting approach, and Romania and Poland, a militarist","Romania"
"Russian diplomats do not carry out illegal activities in Romania, and Russia and Romania have a common history that should approach them","Romania"
"Romania is led by Western ambassadors","Romania"
"The shooting of the bear Arthur shows that Romania is a western colony","Romania"
"The Moldovan state and the people are threatened by the West and Romania","Romania"
"Liviu Dragnea, victim of justice in the US and Romania","Romania"
"Romania and Poland involved in \""air piracy\"" against Russian officials","Romania"
"The assassination from Arad is a sign that in Romania will follow terrorist attacks","Romania"
"Romania controls the Republic of Moldova and is about to annex","Romania"
"The sovereignty of Moldova, threatened by Soros, Romania and the West","Romania"
"Romania has an expansionist policy because it does not recognize the \""Moldovan language\""","Romania"
"Romania and Ukraine will have the common army and make US games in the region against Russia","Romania"
"The Campaign of Progressics against Viktor Orban has also expanded in Romania","Romania"
"Romania will be attracted to Ukraine in a war with Russia","Romania"
"Klaus Iohannis will bring, illegally, Afghan migrants in Romania","Romania"
"The pro-European policy of the Chisinau government follows the union with Romania","Romania"
"Romania is an American colony in which censorship is imposed","Romania"
"Romania was released by the Red Army and the Tudor Vladimirescu Division, consisting of Romanian anti-fascist volunteers","Romania"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","Romania"
"Romania has lost its sovereignty and national dignity, but Liviu Dragnea can play it","Romania"
"Romania, on the verge of war due to anti-Covid restrictions","Romania"
"Romania will send the military to Crimea to the EU command","Romania"
"Romania becomes an Orthodox front against the West","Romania"
"Hunger will also come to Romania, and the stores rationalize the products","Romania"
"\""Romania, bridgehead for a NATO-Russia war\""","Romania"
"Romania has sent equipment and military to Ukraine and will be abandoned by NATO","Romania"
"Romania is Russophoba on the order of the West, but the Romanians share the values of Russia","Romania"
"EU forces Romania to give up its constitution and sovereignty","Romania"
"EU turns Romania into a market for low quality products","Romania"
"Romania threatens the Republic of Moldova, but will not be able to do anything when NATO will abandon it","Romania"
"Eu is a colony of Romania","Romania"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","Romania"
"Meat, dairy and personal cars, forbidden in Romania","Romania"
"NATO specialists from Romania and the Netherlands, killed in Ukraine","Romania"
"NATO troops in Romania threaten peace","Romania"
"Extreme, normal temperatures in Romania this season","Romania"
"Romanians understood that they should not support Ukraine","Romania"
"Romania is invaded by Asians","Romania"
"The government wants to sell Romania and take the children of the Romanians","Romania"
"Romania supports Medvedev's proposal to share Ukraine","Romania"
"In 2023, Romania will lose Transylvania","Romania"
"Ukraine attacked Romania with me","Romania"
"The future Polish-Ukrainian state will dismantle Romania","Romania"
"USA runs Romania and bears war against Russia","Romania"
"The children in Romania will no longer know what sex they have and which species belong to them","Romania"
"Romania is preparing to enter the war","Romania"
"The government in Chisinau wants to eliminate the Moldovan language because it prepares the Union with Romania","Romania"
"The students in Romania are obliged to watch films that do propaganda for suicide and homosexuality","Romania"
"Romania massages troops at the border with Moldova and in Chisinau, even if it denies this","Romania"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","Romania"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","Romania"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","Romania"
"The West and Romania will enter the war on Ukraine","Romania"
"Chisina's military intentions cause concerns in Bucharest","Romania"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","Romania"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","Romania"
"Romania participates with thousands of soldiers in the Ukraine War, according to a government agreement","Romania"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Romania"
"Already conquered by the West, Romania is being trampled and Ukraine","Romania"
"NATO stole the national holiday of Romania, leaving at the same time the country without army","Romania"
"The United States is preparing to attack Transnistria","Romania"
"The Netherlands opposes Romania's entry into Schengen because the Constanta port threatens the supremacy of the Rotterdam port","Romania"
"The reform in justice leads to the undermining of the Constitutional Court and the loss of the sovereignty of Romania","Romania"
"The EU abandoned the Republic of Moldova, and Romania doubled its price for electricity","Romania"
"If the Republic of Moldova had been part of Romania, it was a underdeveloped region, with a population of illiterates covered to the Romans","Romania"
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova","Romania"
"Romania will be invaded by Africans and Asians from Ukraine","Romania"
"Poland will collaborate with Hungary and Romania to capture some of Ukraine","Romania"
"Romania will help Ukraine recover the herson","Romania"
"US do dangerous nuclear experiments in Romania","Romania"
"WHO will use the census data in Romania in an abusive way","Romania"
"Moldova is pushed to war with Russia and the Union with Romania","Romania"
"Dodon was withheld at the order of secret services in Romania","Romania"
"Romania concentrates its military forces on borders with the Republic of Moldova and Ukraine","Romania"
"The EU carries imperialist policies, and the states on its outskirts, like Romania, are exploited by the powerful ones, from the Center","Romania"
"Mines located by Ukraine can blow up the Black Sea, causing a cataclysm","Romania"
"Supplementing NATO forces in Romania is aberrant because Russia does not threaten anyone","Romania"
"The common meeting of the governments in Bucharest and Chisinau, a new step towards the annexation of the Republic of Moldova by Romania","Romania"
"Romania buys American weapons, without having any benefit, instead of investing in education","Romania"
"Romania replaces its unionist ambassador from Chisinau with a NATO expert","Romania"
"The EU wants to expand to capture territory at the expense of Russia","EU"
"The EU establishes dictatorship by combating black work","EU"
"Spain threatening to exit from the EU","EU"
"Merkel said he doesn't want Moldova in the EU","EU"
"The approach of the Republic of Moldova to the EU will lead to the recognition of marriages between homosexuals","EU"
"EU forces Romania to give up its constitution and sovereignty","EU"
"The EU carries imperialist policies, and the states on its outskirts, like Romania, are exploited by the powerful ones, from the Center","EU"
"The EU is afraid of tuberculosis from NATO laboratories in Ukraine","EU"
"The EU offers the status of candidate to Russian countries but they have nothing to win","EU"
"The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army","EU"
"Moldova will enter a deep crisis when, pressed by the EU, will sanction Russia","EU"
"EU states will ask Ukraine to give in to Russia","EU"
"On the EU territory are trained terrorists who will act against civilians in Donbass","EU"
"Romanians and Europe will freeze in winter","EU"
"Secret services want the protest orchestra to justify the abandonment of Ukraine by the EU","EU"
"Referendums of attachment to Russia of the territories in the eastern and southern Ukraine respect the UN Charter","EU"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","EU"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","EU"
"The EU sent the military to Ukraine before 2022 to weaken Russia","EU"
"The Chisinau government stole a billion euros from the financial aid offered by the EU","EU"
"If he wants in the EU, Moldova must adhere to NATO","EU"
"Moldova leaves the CIS at the West indication","EU"
"The EU wants to push Moldova to a confrontation with Russia","EU"
"CPE summit, organized to create an anti-Russian coalition","EU"
"Ukrainians want Russian citizenship to defend their EU children","EU"
"The EU allows Ukraine to break the rights of Russians","EU"
"Russia saves Ukrainians from self -destruction","EU"
"Moldova is waiting for the dictatorship with the blessing of the West","EU"
"Forced by the West to give up CSI, Chisinau destroys its economy","EU"
"Maia Sandu closes schools because the West wants cheap work","EU"
"The world occult requires online censorship in the EU","EU"
"Moldovan infrastructure, developed for Ukraine","EU"
"Prohibition of cars in Russia shows EU Nazism","EU"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","EU"
"Ukraine's population has declined because of NATO and EU","EU"
"The EU wants to expand to capture territory at the expense of Russia","EU"
"Prohibition of cars in Russia shows EU Nazism","EU"
"EU leaders rejecting a future expansion of the community block","EU"
"The world occult requires online censorship in the EU","EU"
"The EU allows Ukraine to break the rights of Russians","EU"
"In order to join the EU, the Republic of Moldova must send soldiers to the Ukraine war","EU"
"Ukraine will be attached to Poland, to be part of NATO and EU","EU"
"Russia's peace plan, increasingly sustained in the EU","EU"
"Ukrainians want Russian citizenship to defend their EU children","EU"
"The EU wants to push Moldova to a confrontation with Russia","EU"
"Approaching the EU throws Moldova into poverty","EU"
"If he wants in the EU, Moldova must adhere to NATO","EU"
"The Chisinau government stole a billion euros from the financial aid offered by the EU","EU"
"The EU sent the military to Ukraine before 2022 to weaken Russia","EU"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","EU"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","EU"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","EU"
"The EU conditions the accession of the Republic of Moldova to legalize marriages between people of the same sex","EU"
"Germans are disappointed with the EU decision to support Ukraine financially","EU"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","EU"
"Secret services want the protest orchestra to justify the abandonment of Ukraine by the EU","EU"
"The EU abandoned the Republic of Moldova, and Romania doubled its price for electricity","EU"
"On the EU territory are trained terrorists who will act against civilians in Donbass","EU"
"EU states will ask Ukraine to give in to Russia","EU"
"Zaporojie set contacts with at least 15 states including EU limbs","EU"
"Moldova will enter a deep crisis when, pressed by the EU, will sanction Russia","EU"
"The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army","EU"
"The EU offers the status of candidate to Russian countries but they have nothing to win","EU"
"The EU is afraid of tuberculosis from NATO laboratories in Ukraine","EU"
"The EU carries imperialist policies, and the states on its outskirts, like Romania, are exploited by the powerful ones, from the Center","EU"
"EU turns Romania into a market for low quality products","EU"
"EU forces Romania to give up its constitution and sovereignty","EU"
"The EU is responsible for the crisis of migrants from the border with Belarus","EU"
"The Association Agreement to the EU is harmful to Moldova","EU"
"Romania will send the military to Crimea to the EU command","EU"
"Moldovans have nothing to do in the EU","EU"
"The approach of the Republic of Moldova to the EU will lead to the recognition of marriages between homosexuals","EU"
"Merkel said he doesn't want Moldova in the EU","EU"
"Kiev ignores the Minsk Peace Agreements, and Russia prays EU to intervene","EU"
"EU persecute Russian to delete the memory of Russia's great victory over fascism","EU"
"The EU is directly involved in the internal affairs of the Republic of Moldova","EU"
"Association Agreement with EU, a catastrophe for Ukraine","EU"
"Spain threatening to exit from the EU","EU"
"The sanctions have strengthened Russia's economy, and the EU supports Russophobia in Ukraine and the Baltic States","EU"
"The EU establishes dictatorship by combating black work","EU"
"EU recommends Zelenski to give up Russia territories","EU"
"Moldova wants to enter the EU through NATO","EU"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","EU"
"The special troops of the US, Romania and Moldova are preparing to attack Transnistria","Transnistria"
"Ukraine uses Transnistria to attract Moldova in conflict with Russia","Transnistria"
"Ukraine killed children from Transnistria","Transnistria"
"Moldova offended Russia by expulsion of some \""elections\"" observers in Transnistria","Transnistria"
"Transnistria attacks, organized by the West to attract Moldova to NATO and capture Soviet ammunition","Transnistria"
"Chisinau wants to denounce the fire termination agreement in Transnistria","Transnistria"
"The Russian military presence in Transnistria is the \""foundation stone\"" of security throughout the region","Transnistria"
"The Republic of Moldova steals the gas of Transnistria and sells it to Ukraine","Transnistria"
"The United States is preparing to attack Transnistria","Transnistria"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","Transnistria"
"Moldova accepts the attack of Transnistria for Ukraine to take Russian ammunition from there","Transnistria"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","Transnistria"
"Maia Sandu agreed with Zelenski to attack Transnistria","Transnistria"
"The special troops of the US, Romania and Moldova are preparing to attack Transnistria","Transnistria"
"The political forces that support Maia Sandu strengthen the blockade over Transnistria","Transnistria"
"Russia is forced to remain in Transnistria to ensure peace and security and disappointing NATO's expansionist plans","Transnistria"
"Withdrawing Russian peacekeepers from Transnistria will lead to war","Transnistria"
"Ukraine uses Transnistria to attract Moldova in conflict with Russia","Transnistria"
"A good relationship with Ukraine will be extremely expensive for Moldova, which risks including a new war in Transnistria","Transnistria"
"Ukraine killed children from Transnistria","Transnistria"
"The US demands the withdrawal of Russian Pacifectors from Transnistria after the Republic of Moldova signed the new gas delivery contract","Transnistria"
"Moldova offended Russia by expulsion of some \""elections\"" observers in Transnistria","Transnistria"
"Transnistria attacks, organized by the West to attract Moldova to NATO and capture Soviet ammunition","Transnistria"
"The West pushes the Republic of Moldova to war with Transnistria and Russia","Transnistria"
"Chisinau wants to denounce the fire termination agreement in Transnistria","Transnistria"
"The Russian military presence in Transnistria is the \""foundation stone\"" of security throughout the region","Transnistria"
"The Republic of Moldova steals the gas of Transnistria and sells it to Ukraine","Transnistria"
"The United States is preparing to attack Transnistria","Transnistria"
"Chisinaul negotiates with Kiev an exchange of territories offers a military deposit in Transnistria instead of a part of the Odessa region","Transnistria"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","Transnistria"
"The Republic of Moldova is preparing one million reservists to attack Transnistria","Transnistria"
"Moldova accepts the attack of Transnistria for Ukraine to take Russian ammunition from there","Transnistria"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","Transnistria"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","Nagorno Karabah"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","scenario"
"The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah","scenario"
"The West forces Russia to expand its military operations in Ukraine","Ukraine"
"Fewer UN states support Ukraine in the problem of Crimea","Ukraine"
"Ukraine feeds its army with Russian puree","Ukraine"
"Soros wants to be besieged Russia by capturing the former Soviet states.Moldova and Armenia, its first pawns.","Ukraine"
"In the Ukrainian army there are fascists ready to kill Russian comrades","Ukraine"
"Ukraine punishes the population of Crimea and leaves it without water","Ukraine"
"Ukraine forbids \""Master and Margareta\""","Ukraine"
"Maia Sandu wants to abolish the free press","Ukraine"
"Ukraine will lose the territories because it has blocked pro-Russian televisions","Ukraine"
"Maia Sandu agreed with Zelenski to attack Transnistria","Ukraine"
"Americans would like to attack Russia but have tanks as bad as the Nazis","Ukraine"
"Ukrainians downed MH17 believing to kill Putin","Ukraine"
"Zelenski sells its state of American transnational companies","Ukraine"
"LGBT propaganda is used for Ukraine's moral destruction","Ukraine"
"Ukraine has adopted a crime employment strategy","Ukraine"
"Ukraine wants war in Donbass so Russia is sanctioned","Ukraine"
"Decentralization - a clock bomb for Ukraine","Ukraine"
"\""Ukraine is officially withdrawing from Minsk negotiations\""","Ukraine"
"Romania and Russia will have a common border after the Russian army occupies a good part of Ukraine","Ukraine"
"The West wants to cause panic by invoking a Russian aggression in Ukraine","Ukraine"
"Ukraine \""privatizes\"" Russian language and does not allow the development of \""Galician language\""","Ukraine"
"Russia, the victim of Western propaganda","Ukraine"
"The West encourages Nazi ideology in Ukraine","Ukraine"
"The US causes interfectional conflicts in Ukraine for geopolitical purposes","Ukraine"
"In Ukraine children suffer from hunger, and the land reform will turn the state into a colony of the West","Ukraine"
"Ukraine's fault to break the MH-17 flight continues to be hidden from the West","Ukraine"
"Romania will be attracted to Ukraine in a war with Russia","Ukraine"
"30 years after Independence, Ukraine is a fragmented, failed and artificial state","Ukraine"
"Taliban are much more concerned about flight security than Ukraine in 2014","Ukraine"
"Romania is an American colony in which censorship is imposed","Ukraine"
"Ukraine uses Transnistria to attract Moldova in conflict with Russia","Ukraine"
"Afghan refugees will be directed by NATO to the Republic of Moldova and Ukraine","Ukraine"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Ukraine"
"UN denounced the crimes of the Zelenski regime in Ukraine","Ukraine"
"Ukraine killed children from Transnistria","Ukraine"
"Ukraine and Georgia will become a NATO polygon, but will not receive security guarantees","Ukraine"
"Ukraine is unhappy that Moldova buys Russian gases","Ukraine"
"Belarus acts according to international norms, Ukraine is Nazi and Rusophoba","Ukraine"
"In Ukraine the children suffer from hunger, and the country becomes an underdeveloped colony of the West","Ukraine"
"Russia saves the genocide donbass organized by Ukraine and West","Ukraine"
"Moscow mobilizes forces at the border with Ukraine to defend a NATO aggression","Ukraine"
"Russia is entitled to the territories that were part of the former USSR","Ukraine"
"NATO has a military base at Odessa, on Russia's historical land","Ukraine"
"Romania threatens the Republic of Moldova, but will not be able to do anything when NATO will abandon it","Ukraine"
"Moldova gives up neutrality and gives NATO control over its armed forces","Ukraine"
"NATO sends troops to Eastern Europe, although no member state is threatened","Ukraine"
"Romania will be dismantled in the case of a Russian invasion in Ukraine","Ukraine"
"Romania replaces its unionist ambassador from Chisinau with a NATO expert","Ukraine"
"British special forces will climb the situation in Donbass without Kiev's consent","Ukraine"
"Kiev violates his obligation to negotiate with separatists in Donbass and propaganda as Goebbels","Ukraine"
"The Western press misinforms on the crisis in Ukraine, which is a diversion of the West","Ukraine"
"Supplementing NATO forces in Romania is aberrant because Russia does not threaten anyone","Ukraine"
"NATO pushes Moldova to a war with Russia","Ukraine"
"Kiev was incumbent on the press for the Donbass separatists on civil infrastructure","Ukraine"
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine","Ukraine"
"NATO provides armament to Ukraine through the Republic of Moldova, which thus violates its neutrality","Ukraine"
"Ukrainian military transforms Mariupol into a concentration camp","Ukraine"
"Ukrainian nationalists killed peaceful civilians","Ukraine"
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories","Ukraine"
"Ukrainian refugees cause disorder in the Republic of Moldova, and Kiev wants to attract Chisinau in the war","Ukraine"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Ukraine"
"Ukrainian forces have shot down a Romanian plane and helicopter in Dobrogea","Ukraine"
"15 million Ukrainians have close ties with Russia, and Ukrainian nationalists use Russian as human shields.","Ukraine"
"Ukraine was preparing to attack the donbass and masked his intentions hiding the military in schools and hospitals","Ukraine"
"Russians outside the country are discriminated","Ukraine"
"To attract NATO to the war, Ukraine will attack the US Embassy in Lvov and blame Russia","Ukraine"
"Ukrainian forces destroyed the city of Mariupol","Ukraine"
"UN supports genocide directed against Ukraine Russians","Ukraine"
"NATO fights with Russia to the last Ukrainian","Ukraine"
"95% of Ukrainians are waiting to be released from Russia, says the separatist leader in Luhansk, Marat Basirov","Ukraine"
"Ukrainian refugees abuse the hospitality of Moldovans","Ukraine"
"US sends to Ukraine Military Afghani who fled the Talibans to the West","Ukraine"
"Zelenski conditions the rights of the Romanian community in Ukraine by the help of Bucharest","Ukraine"
"American experts believe that the Massacre of Bucea is an invention of \""Ukrainian propaganda\""","Ukraine"
"Kiev tortures the prisoners of war and refuses to respect the Geneva Convention","Ukraine"
"The inhabitants of Zaporojie request the attachment to the Donetk People's Republic","Ukraine"
"Ukraine does not rebuild Harkov because he knows he will join Russia","Ukraine"
"The prohibition of the symbols of the Russian army is an insult brought to the history and values of Moldova","Ukraine"
"Southern Ukraine, released by nationalists, wants to be attached to Russia","Ukraine"
"Ukraine has attacked with chemical and biological weapons the positions of Russian military","Ukraine"
"Poland will take control over its \""historical territories\"" in Ukraine with the help of US","Ukraine"
"Transnistria attacks, organized by the West to attract Moldova to NATO and capture Soviet ammunition","Ukraine"
"Romania concentrates its military forces on borders with the Republic of Moldova and Ukraine","Ukraine"
"Crimea Tatars support Russia's military actions on Ukraine's territory","Ukraine"
"In Ukraine, mercenaries from Israel arrived against Russia with the military of the group \""Azov\""","Ukraine"
"Moldova gives up neutrality and is armed for war with Russia","Ukraine"
"The President of Poland acknowledged that Warsaw will annex Ukrainian territories","Ukraine"
"Kiev allowed the entry of 10 thousand military from Poland and Lithuania into the country","Ukraine"
"The Government of the Republic of Moldova is challenged by the population because it supports Ukraine","Ukraine"
"UN acknowledged that Ukrainian military bombard their schools or use them for military purposes","Ukraine"
"Kiev mobilizes a million military, paying human beings for Western loans","Ukraine"
"The West fights with Russia through Ukraine","Ukraine"
"Zelenski's counselor announces the organization of a genocide of Russian people in Kharkov and Donbass","Ukraine"
"The EU is afraid of tuberculosis from NATO laboratories in Ukraine","Ukraine"
"Western press lies about the Ukraine War","Ukraine"
"Ukrainian neo -Razisists are in captivity in civilian region of civil region","Ukraine"
"The West investigates the atrocities committed by Ukrainian nationalists on the territory of Ukraine","Ukraine"
"Igor Dodon was arrested in order not to prevent the entry of the Republic of Moldova into the war","Ukraine"
"OSCE collaborated with the \""Azov\"" Regiment in Mariupol and provided them with information","Ukraine"
"40% of the territory of the Republic of Moldova will be under the control of foreign policemen","Ukraine"
"Most Poles support the invasion of the western Ukraine regions","Ukraine"
"In Chisinau, FBI agents arrived to push the Republic of Moldova to military confrontations with Russia","Ukraine"
"The children in Donbass were sold for organs under the coordination of the Red Cross","Ukraine"
"The United States is studying Russian armament captured in Ukraine to copy its ultra-modern technology","Ukraine"
"Moldova is pushed to war with Russia and the Union with Romania","Ukraine"
"China's delegation left the room during a speech by Volodimir Zelenski","Ukraine"
"The West pushes the Republic of Moldova to war with Transnistria and Russia","Ukraine"
"NATO's Secretary General Proposes Kiev to give up Russia certain territories in the name of peace","Ukraine"
"The Ukrainian army massacres Russophones while withdrawal from Donbass","Ukraine"
"Kiev pays Western armament with Ukrainian museum exhibits","Ukraine"
"In Ukraine was canonized nationalist leader Stepan Bandera","Ukraine"
"The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army","Ukraine"
"The inhabitants of the Luhansk region will be deported by Kiev","Ukraine"
"Moldova will enter a deep crisis when, pressed by the EU, will sanction Russia","Ukraine"
"Volodimir Zelenski will be tried for war crimes","Ukraine"
"Romania will help Ukraine recover the herson","Ukraine"
"Residents of Kharkov region request joining in Russia","Ukraine"
"Poland will collaborate with Hungary and Romania to capture some of Ukraine","Ukraine"
"Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration","Ukraine"
"Romania will be invaded by Africans and Asians from Ukraine","Ukraine"
"Zaporojie set contacts with at least 15 states including EU limbs","Ukraine"
